,age,daily_active_minutes_instagram,self_reported_happiness
116303,27,94.0,6
7191,60,166.0,7
87154,57,109.0,3
186510,31,278.0,7
12148,34,5.0,6
133933,44,150.0,10
53367,51,97.0,7
62457,58,298.0,1
77044,65,148.0,9
69473,35,5.0,8
85557,27,321.0,8
131445,59,112.0,3
48778,45,143.0,7
26687,36,251.0,4
142386,50,180.0,1
180095,17,299.0,7
59983,46,64.0,8
10696,35,206.0,6
87335,51,106.0,4
62980,31,398.0,1
803,45,406.0,4
173958,51,5.0,5
32213,25,140.0,9
8624,56,61.0,6
25172,31,326.0,2
130343,32,278.0,3
45642,32,171.0,5
52318,38,13.0,7
197688,48,249.0,2
121439,37,101.0,9
96877,38,145.0,3
182837,62,85.0,5
196764,21,94.0,4
110599,64,307.0,2
19678,39,127.0,3
1130,15,5.0,8
83954,50,237.0,6
80413,55,18.0,7
114470,56,30.0,9
158913,37,53.0,6
44505,62,18.0,5
116800,58,82.0,5
156428,36,63.0,9
114201,32,18.0,8
14982,13,123.0,6
100085,60,90.0,5
133583,58,5.0,5
123477,62,69.0,9
13177,41,272.0,4
178048,41,49.0,6
42039,62,207.0,9
50043,15,245.0,6
30784,59,138.0,9
174909,19,333.0,5
125881,25,33.0,8
38817,31,119.0,3
102108,13,153.0,5
67511,31,202.0,3
25192,63,287.0,1
40512,36,194.0,1
70994,50,243.0,3
11472,27,234.0,6
83562,16,138.0,7
62029,65,207.0,1
164908,20,5.0,10
14395,17,118.0,7
124052,27,162.0,3
152257,63,304.0,2
55977,34,163.0,4
167706,32,267.0,5
119834,48,5.0,10
2794,15,375.0,5
102925,30,316.0,4
17006,46,5.0,10
23631,39,313.0,1
121238,58,5.0,7
51431,52,5.0,9
64918,18,185.0,6
19977,58,182.0,3
11752,21,231.0,10
85047,38,254.0,4
72118,37,246.0,1
198988,31,70.0,8
10850,56,229.0,5
31105,63,331.0,3
19219,51,261.0,5
146166,58,126.0,7
13825,16,133.0,6
113740,18,238.0,4
167229,18,199.0,1
32418,36,238.0,6
75033,63,13.0,7
69635,32,5.0,10
109124,33,224.0,8
158301,60,111.0,4
180009,62,5.0,7
177952,56,156.0,7
193402,46,5.0,10
115384,49,226.0,3
178058,19,94.0,9
176714,57,318.0,5
195908,53,44.0,1
5010,17,54.0,9
30852,52,213.0,4
430,54,110.0,2
161246,49,339.0,1
90343,48,16.0,7
56450,30,123.0,5
67001,49,267.0,6
194405,41,343.0,8
14194,54,46.0,6
12550,30,413.0,2
94735,25,111.0,5
79074,65,166.0,5
92850,14,259.0,9
181158,23,221.0,7
99853,22,216.0,8
156110,16,59.0,10
143498,51,163.0,5
195592,39,5.0,9
134082,46,35.0,6
151995,62,70.0,7
49862,30,217.0,1
150616,60,154.0,8
5600,27,272.0,1
49329,26,232.0,4
177796,26,153.0,5
192154,41,372.0,1
73639,57,94.0,3
62106,19,235.0,6
12680,26,137.0,5
197065,45,189.0,7
196896,16,74.0,5
186420,46,98.0,9
67133,48,249.0,6
29278,22,71.0,6
100928,62,334.0,2
138026,43,152.0,9
17178,35,171.0,10
152352,41,89.0,6
26540,31,144.0,3
147974,27,370.0,1
146972,56,156.0,9
70700,22,288.0,4
12931,60,198.0,5
183724,49,229.0,7
187830,56,5.0,7
165924,22,164.0,10
112579,30,185.0,3
147593,51,349.0,2
121827,65,276.0,9
32917,30,154.0,8
134646,46,231.0,6
71060,41,135.0,1
141253,24,73.0,7
9346,25,150.0,2
139578,61,5.0,9
126335,25,373.0,2
152116,56,248.0,5
146775,60,202.0,7
156288,63,220.0,3
151951,30,387.0,4
99190,36,58.0,3
26834,26,256.0,1
33724,35,200.0,6
41730,21,277.0,10
170181,47,143.0,2
79648,47,5.0,7
64474,31,85.0,8
187779,63,160.0,8
61370,42,310.0,2
168965,24,5.0,10
169571,45,341.0,1
99671,47,5.0,6
107136,30,215.0,4
141874,28,119.0,3
136732,37,297.0,7
18134,19,376.0,1
173188,60,283.0,2
133250,64,185.0,1
175248,29,227.0,1
24451,55,133.0,5
42788,38,150.0,6
170921,52,141.0,3
178169,58,263.0,5
155914,63,178.0,6
34299,17,167.0,8
197262,43,16.0,8
77368,14,286.0,4
139007,51,197.0,2
51959,14,49.0,10
70151,14,314.0,3
96447,51,140.0,7
132888,50,115.0,5
158068,63,171.0,2
169671,13,118.0,10
109222,17,445.0,2
77345,54,202.0,3
5310,44,152.0,9
68026,58,5.0,8
138796,27,382.0,2
119392,35,315.0,4
167998,31,237.0,7
98660,37,238.0,10
41476,42,313.0,7
56210,37,278.0,1
2452,47,165.0,10
198482,34,52.0,3
164507,31,294.0,2
60904,19,318.0,6
167167,59,172.0,7
66811,28,294.0,6
129470,49,284.0,3
120556,34,370.0,2
149825,34,130.0,10
71451,40,334.0,2
196179,53,171.0,5
1570,38,226.0,10
61183,18,376.0,7
157398,54,176.0,10
91727,28,272.0,2
50970,24,118.0,9
58010,16,464.0,1
116265,37,275.0,6
98806,51,217.0,6
55175,35,107.0,2
169687,44,274.0,7
1944,16,293.0,5
147312,59,172.0,1
73374,36,79.0,8
96812,36,320.0,6
107403,23,362.0,5
5905,50,323.0,2
185156,24,269.0,4
26759,63,5.0,10
55941,46,274.0,2
55944,32,91.0,6
150713,48,222.0,4
69589,65,304.0,1
136305,45,69.0,7
32291,24,165.0,2
57472,32,266.0,3
30308,57,220.0,10
147704,38,163.0,8
178017,28,24.0,10
191245,28,205.0,9
13274,59,240.0,4
25264,41,81.0,4
94589,30,122.0,2
61705,13,105.0,6
3731,16,393.0,5
81857,51,249.0,10
14484,56,273.0,9
158702,38,5.0,7
15609,22,300.0,4
27292,65,171.0,5
27922,17,370.0,5
138391,49,23.0,4
17409,47,98.0,6
168917,56,209.0,5
83707,20,242.0,9
167670,56,5.0,10
33947,38,12.0,8
23907,28,172.0,3
61451,17,99.0,10
95279,48,287.0,5
159131,33,317.0,2
45659,52,260.0,1
160328,65,137.0,4
121882,58,322.0,7
10601,52,266.0,3
162273,54,172.0,1
66549,40,281.0,6
156438,29,188.0,9
59366,40,316.0,4
98759,30,23.0,8
183854,62,5.0,5
158315,19,96.0,10
158371,55,408.0,2
88978,63,66.0,2
58564,55,380.0,4
83009,52,242.0,10
75765,25,265.0,4
132583,21,124.0,6
166896,46,137.0,1
189162,51,175.0,4
73277,52,318.0,7
130657,37,280.0,6
167424,33,237.0,7
23008,65,54.0,7
191225,27,239.0,7
174136,48,111.0,2
112359,49,299.0,3
31764,17,232.0,3
96579,46,138.0,7
150707,52,46.0,9
9486,28,187.0,10
194495,43,205.0,1
197561,16,242.0,7
5609,23,216.0,4
121778,31,343.0,3
60948,50,149.0,5
173490,56,149.0,1
53862,52,95.0,9
37056,23,257.0,10
152313,61,194.0,4
142313,13,366.0,1
165284,15,483.0,2
193814,37,124.0,6
154713,55,118.0,3
149990,56,324.0,5
67328,53,211.0,7
73726,22,269.0,3
163209,31,351.0,1
1929,22,184.0,7
67840,37,165.0,5
133950,56,190.0,4
36015,35,59.0,8
131544,46,377.0,4
169557,20,185.0,9
168969,17,266.0,5
59786,51,331.0,4
181693,53,87.0,10
31660,21,192.0,5
157182,47,143.0,8
185365,47,251.0,6
186565,17,44.0,6
126173,58,231.0,9
89975,34,182.0,8
55513,61,137.0,3
149719,47,232.0,10
175232,59,246.0,3
123500,21,104.0,5
14668,52,300.0,5
38887,61,6.0,1
134722,46,222.0,6
111704,42,249.0,7
139900,49,161.0,10
33802,30,241.0,3
37533,15,215.0,6
13080,29,250.0,8
35463,18,406.0,1
41761,63,113.0,8
108433,42,88.0,4
101321,42,89.0,10
104064,58,140.0,7
152860,62,126.0,9
68417,30,108.0,3
40347,25,87.0,1
128868,23,123.0,6
132671,64,97.0,1
164402,49,5.0,5
46472,30,77.0,6
71916,58,5.0,7
774,65,126.0,8
36779,35,122.0,6
54485,31,201.0,9
196950,18,96.0,6
96108,42,265.0,7
58958,40,223.0,4
4667,49,166.0,8
117175,43,358.0,4
78084,27,265.0,5
179775,31,340.0,7
151882,27,20.0,7
80099,49,113.0,9
153042,54,93.0,1
160278,16,272.0,3
187937,64,89.0,5
99042,43,276.0,3
54425,14,281.0,5
151597,23,416.0,3
121880,21,5.0,7
4122,21,115.0,4
133996,41,215.0,9
148814,13,191.0,4
97765,36,5.0,9
64087,29,133.0,10
32374,24,170.0,9
193626,54,5.0,2
75255,24,396.0,3
161191,59,41.0,7
100680,34,179.0,9
41285,39,186.0,10
165373,50,345.0,5
94688,59,5.0,10
53654,26,182.0,1
187439,42,206.0,9
143488,42,246.0,10
181531,40,300.0,6
82768,32,211.0,6
140710,63,253.0,6
134213,55,300.0,3
151906,44,5.0,10
50797,16,171.0,4
42482,41,158.0,8
85900,31,314.0,8
17170,16,190.0,8
150101,36,74.0,4
166114,31,173.0,10
149878,39,357.0,7
132930,32,328.0,7
6446,57,278.0,6
153958,65,67.0,4
175416,46,33.0,7
32323,47,114.0,5
118458,59,138.0,4
38945,64,21.0,7
68535,14,216.0,1
30332,41,90.0,7
82544,44,327.0,2
125714,29,190.0,5
65584,59,73.0,5
102095,59,104.0,9
106600,28,5.0,10
11583,60,378.0,6
98008,60,291.0,5
175150,38,56.0,7
177236,31,292.0,1
138621,24,311.0,6
163544,43,302.0,7
24342,54,128.0,4
120557,22,174.0,1
19621,25,290.0,1
94746,14,66.0,8
154468,42,333.0,3
154295,59,301.0,5
175224,55,150.0,4
164204,62,5.0,7
40755,19,308.0,5
190189,53,173.0,1
140321,32,115.0,6
14923,46,71.0,3
107725,52,254.0,2
198673,24,284.0,1
89336,48,351.0,1
51169,14,283.0,2
157226,27,281.0,3
125694,23,240.0,1
132281,60,112.0,8
125268,62,177.0,5
9077,30,294.0,6
5371,65,218.0,9
176649,64,178.0,2
50177,45,218.0,6
36859,56,97.0,7
53564,65,316.0,8
106881,39,112.0,9
191486,64,183.0,4
110420,47,236.0,5
9945,31,155.0,8
55862,41,248.0,3
90691,45,57.0,9
170179,36,104.0,9
136516,49,129.0,8
188402,65,172.0,6
151603,37,332.0,7
73197,60,186.0,9
142473,38,217.0,4
74332,60,167.0,6
176404,44,148.0,7
115629,18,432.0,1
20131,49,40.0,8
115524,52,144.0,1
95545,22,124.0,6
187897,33,189.0,4
117172,35,339.0,1
134333,52,346.0,3
77721,51,178.0,7
144969,37,146.0,8
178644,26,65.0,9
119024,33,248.0,6
17634,40,339.0,2
118567,51,248.0,4
170585,55,119.0,10
63815,39,220.0,9
104030,57,165.0,3
152479,44,156.0,8
34459,60,196.0,4
146919,28,332.0,5
184946,60,55.0,2
160241,59,98.0,5
114801,35,176.0,6
15439,48,113.0,4
88283,34,5.0,7
197834,33,5.0,10
40285,17,93.0,4
146235,53,224.0,5
75348,32,264.0,9
191289,20,165.0,8
155263,39,209.0,2
141318,33,146.0,4
141938,26,31.0,7
112113,38,5.0,6
121479,23,254.0,2
5175,58,224.0,1
61979,29,242.0,4
185380,51,126.0,2
107890,21,334.0,6
144481,63,69.0,4
47746,24,146.0,2
74592,55,192.0,3
180895,39,253.0,4
4201,26,59.0,6
69883,57,113.0,2
137762,52,273.0,3
130693,18,244.0,6
137637,47,178.0,2
29005,38,105.0,3
96350,47,125.0,4
178248,18,85.0,9
83310,41,222.0,1
155335,60,343.0,4
184826,58,195.0,7
106833,50,29.0,8
168430,27,19.0,10
24659,59,155.0,3
193040,50,178.0,5
106391,50,337.0,5
60256,44,101.0,10
43646,55,195.0,2
174883,46,101.0,6
16729,47,258.0,5
77990,50,93.0,1
129317,23,216.0,8
150325,64,124.0,4
163976,42,326.0,1
72321,53,245.0,5
181127,31,160.0,7
10632,44,167.0,9
104806,40,42.0,10
129090,58,149.0,8
137904,28,91.0,5
36427,50,267.0,8
125823,45,232.0,6
47528,32,327.0,7
16806,55,5.0,9
176558,43,200.0,3
83787,33,69.0,10
132077,47,172.0,5
2234,45,209.0,9
172159,23,122.0,6
165051,25,253.0,4
183747,48,228.0,2
157771,32,125.0,8
191341,46,5.0,9
45827,30,283.0,8
148448,17,426.0,5
81177,47,21.0,7
138154,34,214.0,6
115487,13,17.0,10
117854,31,121.0,4
53578,27,274.0,10
19764,56,213.0,9
74922,60,296.0,6
13333,24,184.0,9
127083,59,5.0,9
149398,53,69.0,8
86463,24,320.0,5
104041,19,145.0,5
164959,59,265.0,4
53712,25,364.0,9
194100,38,273.0,2
173139,21,335.0,5
188899,40,204.0,6
117747,25,226.0,9
24852,51,244.0,6
127975,37,412.0,4
53734,44,120.0,1
14156,27,253.0,7
162680,22,36.0,8
44710,31,309.0,7
193270,56,5.0,10
178734,48,317.0,3
98636,45,269.0,1
168390,58,199.0,10
120661,19,205.0,1
120128,63,202.0,10
164874,29,295.0,3
41450,19,261.0,5
167320,61,175.0,4
166453,33,328.0,6
43447,62,204.0,6
174720,45,207.0,6
14974,54,195.0,9
25305,60,218.0,2
25970,34,114.0,9
37105,65,185.0,7
182505,43,67.0,9
133437,29,114.0,9
73489,44,116.0,7
9188,17,185.0,2
199536,37,276.0,9
140258,35,388.0,3
163860,44,352.0,2
14054,35,5.0,10
50700,62,202.0,2
199617,48,242.0,4
115439,65,113.0,1
142402,40,193.0,7
126839,39,265.0,6
96923,62,40.0,4
165931,19,150.0,9
110678,28,106.0,7
105074,21,252.0,4
41034,55,219.0,3
177922,16,469.0,1
79554,65,106.0,8
139169,13,145.0,1
129547,20,284.0,1
13212,53,231.0,10
34420,47,287.0,7
21477,64,120.0,4
124417,64,317.0,1
43399,46,319.0,5
16723,36,242.0,9
5025,46,177.0,2
152298,58,282.0,4
1088,36,169.0,9
185199,61,69.0,3
94104,33,123.0,1
123077,28,5.0,10
194661,27,328.0,6
32164,31,175.0,8
144706,26,354.0,1
48002,19,86.0,6
160007,20,222.0,3
146791,63,271.0,8
30344,57,111.0,2
60756,38,123.0,1
78101,49,5.0,2
26052,15,177.0,10
73487,31,356.0,2
133160,21,122.0,6
27261,22,99.0,5
159824,50,62.0,6
175815,37,168.0,7
85057,53,163.0,9
75651,22,340.0,4
86009,57,98.0,5
110329,61,17.0,8
41031,32,255.0,7
149399,28,233.0,8
125503,46,206.0,10
192324,25,47.0,9
101423,27,25.0,6
155964,65,242.0,5
56177,37,271.0,7
74191,32,291.0,8
117094,21,255.0,10
163122,38,414.0,2
96771,44,63.0,9
37549,17,322.0,3
182358,18,156.0,8
159133,27,278.0,7
145400,24,405.0,6
81006,33,173.0,6
159911,20,6.0,7
185637,61,44.0,9
169048,43,237.0,3
83599,60,165.0,2
38203,50,111.0,3
166989,17,189.0,1
28141,34,227.0,8
63361,61,79.0,9
49252,58,234.0,8
130663,24,351.0,7
144622,57,291.0,3
106775,15,234.0,8
100470,60,265.0,2
46592,23,111.0,6
118390,26,120.0,8
16255,20,132.0,1
64881,43,54.0,4
107404,45,237.0,8
70649,52,332.0,3
195109,57,89.0,6
44068,59,37.0,3
147226,58,45.0,10
168402,54,5.0,4
157073,32,268.0,9
197803,32,325.0,4
68910,45,338.0,3
134966,14,257.0,4
127345,54,27.0,6
65424,63,202.0,5
147030,65,68.0,4
77947,43,148.0,2
199252,15,362.0,8
159757,53,120.0,9
61306,27,307.0,1
43874,60,5.0,6
187473,16,21.0,7
82477,32,93.0,4
84506,35,135.0,6
100325,63,159.0,5
8573,54,5.0,9
66342,60,83.0,3
134516,13,261.0,10
140949,23,105.0,10
68602,38,267.0,4
139313,60,137.0,3
9565,25,148.0,1
116519,47,108.0,2
173225,33,151.0,3
70665,34,395.0,4
8354,14,308.0,1
138021,39,226.0,7
99708,64,5.0,8
180780,25,19.0,7
63750,57,347.0,1
40189,64,137.0,2
19026,60,394.0,2
5678,53,5.0,10
80746,37,382.0,6
76266,46,95.0,6
137156,64,27.0,4
40094,27,283.0,5
65250,49,122.0,8
53894,43,329.0,4
43291,42,325.0,3
181298,21,194.0,9
936,14,148.0,1
130816,30,68.0,2
185613,52,7.0,10
56043,15,317.0,4
20483,59,184.0,1
41425,58,181.0,2
199738,13,299.0,3
87723,29,398.0,2
109022,54,130.0,3
193868,35,157.0,8
34287,31,158.0,2
51417,49,236.0,5
11856,50,182.0,10
4788,64,32.0,8
31396,56,46.0,3
96339,27,194.0,4
179632,56,242.0,2
176935,34,167.0,9
81969,55,5.0,4
11635,39,119.0,3
151526,58,164.0,9
48094,43,59.0,1
190573,50,14.0,10
118925,49,325.0,2
98742,35,237.0,2
128397,59,5.0,2
138188,24,209.0,10
140968,17,59.0,9
198695,13,243.0,8
129276,32,318.0,1
75595,28,218.0,6
86245,24,383.0,3
85849,15,388.0,3
150881,65,130.0,2
195187,46,66.0,2
192973,33,216.0,9
76214,24,213.0,8
174500,23,138.0,2
168909,34,302.0,4
71548,54,151.0,9
26089,41,348.0,4
141887,39,193.0,3
188688,51,196.0,8
197598,13,201.0,3
167031,36,5.0,8
6783,58,13.0,8
77879,55,105.0,2
109454,22,198.0,2
22078,41,86.0,9
106778,13,45.0,8
30503,37,236.0,6
191310,30,44.0,10
197474,41,241.0,6
45915,39,171.0,4
102839,29,398.0,2
194996,49,206.0,7
136820,35,33.0,9
168763,36,285.0,2
140964,51,304.0,7
189717,21,320.0,8
82286,48,69.0,5
51045,63,182.0,2
137437,45,318.0,3
177787,32,237.0,2
101354,38,187.0,9
126988,51,78.0,9
129443,52,5.0,10
109565,56,381.0,2
24048,20,89.0,10
98040,49,344.0,5
6029,52,173.0,8
156965,34,322.0,7
47226,60,130.0,6
109049,33,282.0,8
64418,49,165.0,7
75858,58,266.0,4
102749,21,277.0,3
13180,35,151.0,10
126934,31,236.0,7
156380,44,54.0,9
122327,44,196.0,8
128791,40,282.0,6
77717,40,179.0,8
117018,17,319.0,7
49376,47,129.0,10
155340,63,167.0,4
3069,58,31.0,4
166549,61,57.0,7
82099,23,422.0,4
113686,19,133.0,4
76468,15,91.0,6
45229,28,158.0,5
158582,20,52.0,9
98591,21,55.0,8
1234,45,128.0,9
87837,32,403.0,5
78491,17,327.0,9
119272,44,156.0,8
18633,65,60.0,1
143194,65,51.0,2
156774,61,240.0,1
88793,50,9.0,8
6773,43,5.0,9
29612,23,155.0,2
50443,60,5.0,7
27274,21,299.0,2
113877,33,322.0,3
78686,40,5.0,3
20192,37,152.0,10
199210,39,337.0,7
94885,20,263.0,6
133124,34,351.0,7
30307,57,139.0,6
173816,61,67.0,7
174062,41,5.0,8
149738,27,270.0,7
164109,19,142.0,7
189373,32,45.0,8
193163,25,339.0,2
44418,53,95.0,10
48637,23,168.0,10
156984,65,390.0,3
32990,28,264.0,2
194052,51,208.0,10
190799,65,169.0,5
10090,40,184.0,10
88528,48,184.0,3
182436,46,216.0,7
60625,36,37.0,9
18334,48,200.0,3
191480,24,263.0,6
57467,46,161.0,6
127740,59,191.0,5
5327,27,302.0,1
115782,30,92.0,1
22900,52,5.0,10
137070,36,305.0,2
144781,49,243.0,2
82981,48,5.0,9
148117,27,45.0,9
13484,45,201.0,7
101981,37,164.0,2
198088,32,223.0,1
80118,54,182.0,6
199027,43,256.0,9
1795,17,121.0,8
99751,35,158.0,4
26798,59,220.0,9
60887,53,166.0,4
120201,18,170.0,3
22590,26,305.0,3
169810,31,171.0,10
184633,46,122.0,8
4859,13,197.0,1
40051,54,339.0,4
177779,52,197.0,2
125272,17,352.0,5
166417,52,96.0,5
164659,53,89.0,1
132389,41,54.0,8
173805,13,115.0,5
133685,34,190.0,4
26479,42,272.0,5
187979,20,310.0,2
104075,21,394.0,4
189204,22,190.0,3
86425,37,124.0,7
135714,62,402.0,1
31711,41,161.0,1
38334,57,124.0,3
179259,27,279.0,4
108913,40,135.0,5
190241,45,172.0,5
3171,52,185.0,10
184549,19,181.0,10
13626,49,124.0,7
103868,63,352.0,2
180967,40,311.0,2
86415,58,307.0,2
128752,64,164.0,9
153689,49,188.0,10
84552,60,187.0,4
130450,13,132.0,10
42877,17,245.0,8
162968,27,71.0,6
104019,23,421.0,3
46349,26,220.0,5
95668,55,5.0,3
114611,42,355.0,2
61873,48,5.0,9
115808,51,353.0,1
45228,32,103.0,6
23102,55,140.0,6
91523,43,115.0,3
191270,17,125.0,8
127539,42,5.0,9
88264,53,138.0,3
198044,37,120.0,5
194813,18,5.0,10
119094,23,91.0,8
24758,23,202.0,9
173404,55,126.0,2
176305,26,156.0,1
74578,65,363.0,4
5746,65,109.0,4
32196,19,150.0,9
166018,45,289.0,7
11103,35,299.0,8
10575,64,223.0,9
43597,33,151.0,4
51082,43,128.0,6
131205,42,330.0,2
71353,63,234.0,5
147881,21,193.0,1
190843,45,275.0,6
150562,55,190.0,3
7078,18,350.0,2
106952,51,246.0,10
114836,36,397.0,2
6626,51,66.0,7
32595,60,78.0,7
9146,43,169.0,8
198983,54,268.0,1
45045,54,249.0,5
175200,48,53.0,7
93852,25,373.0,5
148613,18,148.0,2
30841,22,209.0,10
18188,45,268.0,2
94926,26,5.0,10
189298,48,169.0,1
132983,25,216.0,6
3634,60,139.0,2
150504,31,263.0,5
65857,60,93.0,4
11769,44,100.0,9
192142,54,240.0,6
66108,15,416.0,6
173738,57,382.0,4
26145,24,354.0,3
143866,23,126.0,5
41000,65,178.0,10
170251,25,43.0,4
158260,28,158.0,10
62791,65,164.0,7
128969,29,5.0,10
133386,33,315.0,1
196629,25,213.0,4
25493,15,195.0,2
158860,44,34.0,4
164123,58,5.0,10
132673,17,162.0,8
176953,26,84.0,8
113246,65,108.0,8
148533,13,221.0,2
85687,42,293.0,10
160490,26,5.0,10
138103,53,228.0,2
96604,32,204.0,2
75102,55,327.0,1
104353,43,35.0,10
144307,13,194.0,10
124841,18,272.0,2
18683,61,69.0,1
22965,53,301.0,5
91941,43,111.0,3
154345,49,227.0,4
169715,35,399.0,1
131768,41,232.0,10
762,48,75.0,8
191792,37,328.0,6
86473,64,239.0,4
63624,30,62.0,4
82807,63,47.0,3
40186,37,319.0,7
41733,22,307.0,1
186027,25,192.0,2
32161,26,360.0,5
46927,53,99.0,8
140668,45,94.0,7
86785,54,235.0,7
88651,53,12.0,10
62335,55,127.0,1
66,26,304.0,8
17063,16,203.0,1
33779,57,383.0,1
14802,29,107.0,3
34653,47,155.0,9
54066,14,5.0,8
150758,40,215.0,1
30551,53,247.0,4
117749,58,227.0,9
68018,34,297.0,6
74950,52,313.0,3
84575,55,205.0,6
163393,36,330.0,3
163814,42,284.0,6
191472,49,224.0,1
17931,24,298.0,6
190122,24,145.0,3
21731,16,102.0,9
47094,42,28.0,9
133076,61,5.0,5
46897,50,12.0,10
54053,41,93.0,4
94390,23,27.0,9
51986,38,103.0,8
55109,29,202.0,7
121390,46,115.0,10
154131,44,376.0,1
40374,43,210.0,5
94127,16,5.0,9
92630,52,52.0,5
122915,38,381.0,1
96459,25,32.0,5
153970,32,309.0,4
155518,19,159.0,10
4956,30,122.0,5
76881,55,186.0,1
41378,29,270.0,10
51000,53,5.0,7
119027,48,135.0,4
135727,16,334.0,1
14833,18,319.0,5
123954,51,5.0,9
40978,53,168.0,8
149998,27,63.0,5
62520,65,276.0,5
76672,42,216.0,2
46172,30,270.0,7
41180,17,199.0,7
146063,58,73.0,3
125166,58,51.0,3
159888,23,479.0,2
15760,14,165.0,8
106776,59,5.0,9
133056,57,138.0,9
160556,64,271.0,1
67748,46,5.0,7
167455,28,189.0,2
56088,65,253.0,6
189023,59,5.0,4
93147,53,69.0,6
167247,46,77.0,8
195690,15,56.0,6
157213,55,261.0,9
128787,63,276.0,8
179512,49,209.0,6
179877,19,229.0,2
180326,13,127.0,10
181912,14,240.0,8
180888,34,219.0,4
177661,25,272.0,8
102672,32,260.0,3
89100,26,169.0,4
98575,35,270.0,5
156809,22,18.0,8
194803,54,249.0,3
73432,39,220.0,3
130312,21,84.0,4
44955,19,154.0,10
27886,33,352.0,1
160318,29,145.0,10
13818,49,173.0,5
2566,36,66.0,8
105603,33,88.0,6
199704,13,332.0,3
149120,59,55.0,3
80810,52,64.0,4
110653,52,64.0,3
2424,53,323.0,1
155714,58,62.0,8
191703,51,291.0,1
38135,37,5.0,8
104377,14,225.0,2
68621,57,138.0,1
178332,31,455.0,2
158417,27,42.0,9
31574,24,331.0,6
182304,21,293.0,6
97716,48,173.0,4
103938,63,168.0,10
80165,22,48.0,9
70604,59,91.0,2
72493,28,153.0,1
127822,30,325.0,10
16950,37,60.0,9
132907,32,53.0,10
3714,24,378.0,6
61948,37,5.0,6
49286,17,53.0,10
35210,45,346.0,1
76009,32,128.0,3
37644,25,61.0,5
